,학년,반,이수구분,영역,수업번호,학수번호,(변경전)교과목명,교과목명,과목안내,공학인증구분,교강사,학점,강의,실습,강좌유형,수강정원,수업시간,강의실,이수제한여부,과목상세정보,설강학과,권장학과,과목정보
0,2,2,기초필수,영역없음,22032,COE3052,,공업수학2,,Y,학사,이기영,3,0,일반,50,월(14:30-16:00)수(15:00-16:30)," 비지정(ERICA), 비지정(ERICA)",O,,기계공학과,기계공학과,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22032
1,2,1,기초필수,영역없음,22083,INE2006,,수리통계,,N,학사,강창욱,3,0,일반,50,화(09:00-10:30),"ERICA 제1공학관 207 강의실,  ",O,SMART-F,산업경영공학과,산업경영공학과,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22083
2,2,1,기초필수,영역없음,22121,COE3051,,공업수학1,,Y,학사,박연수,3,0,일반,38,금(13:00-14:30)금(14:30-16:00),"ERICA 제2공학관 425 강의실,ERICA 제2공학관 425 강의실",O,,교통·물류공학과,교통·물류공학과,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22121
3,2,1,기초필수,영역없음,22167,VCC2001,PBL과취창업을위한진로탐색,IC-PBL과취창업을위한진로탐색,,Y,학사,유제흥,1,0,일반,2500,시간미지정강좌, ,O,"IC-PBL.,교내E-러닝A",실용음악학과,커리어개발센터,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22167
4,2,1,기초필수,영역없음,22167,VCC2001,PBL과취창업을위한진로탐색,IC-PBL과취창업을위한진로탐색,,Y,학사,유제흥,1,0,일반,2500,시간미지정강좌, ,O,"IC-PBL.,교내E-러닝A",기계공학과,커리어개발센터,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22167
5,2,1,기초필수,영역없음,22167,VCC2001,PBL과취창업을위한진로탐색,IC-PBL과취창업을위한진로탐색,,Y,학사,유제흥,1,0,일반,2500,시간미지정강좌, ,O,"IC-PBL.,교내E-러닝A",생명나노공학과,커리어개발센터,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22167
6,2,1,기초필수,영역없음,22167,VCC2001,PBL과취창업을위한진로탐색,IC-PBL과취창업을위한진로탐색,,Y,학사,유제흥,1,0,일반,2500,시간미지정강좌, ,O,"IC-PBL.,교내E-러닝A",건축학전공,커리어개발센터,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22167
7,2,1,기초필수,영역없음,22167,VCC2001,PBL과취창업을위한진로탐색,IC-PBL과취창업을위한진로탐색,,Y,학사,유제흥,1,0,일반,2500,시간미지정강좌, ,O,"IC-PBL.,교내E-러닝A",한국언어문학과,커리어개발센터,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22167
8,2,1,기초필수,영역없음,22167,VCC2001,PBL과취창업을위한진로탐색,IC-PBL과취창업을위한진로탐색,,Y,학사,유제흥,1,0,일반,2500,시간미지정강좌, ,O,"IC-PBL.,교내E-러닝A",중국학과,커리어개발센터,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22167
9,2,1,기초필수,영역없음,22167,VCC2001,PBL과취창업을위한진로탐색,IC-PBL과취창업을위한진로탐색,,Y,학사,유제흥,1,0,일반,2500,시간미지정강좌, ,O,"IC-PBL.,교내E-러닝A",영미언어·문화학과,커리어개발센터,https://portal.hanyang.ac.kr/openPop.do?header=hidden&url=/haksa/SughAct/findSuupPlanDocHyIn.do&flag=DN&year=2020&term=10&suup=22167
