대학 및 학과,역사와철학,인간과사회,문학과예술,언어와세계문화,과학기술과환경,소프트웨어(신설),제한없음,계,사회봉사,산학협력교육
공학대학,[6],[6],[6],[6],0,0,0,6,1,6
공학대학 융합공학과,0,0,0,0,0,0,6,6,0,0
공학대학 스마트융합공학부,0,0,0,0,0,0,0,0,0,0
소프트웨어융합대학,2,[2],[2],[2],[2],[2],0,6,1,6
약학대학,0,0,0,0,0,0,0,0,0,3
과학기술융합대학,2,0,2,0,0,0,0,4,1,3
국제문화대학,2,0,2,0,[2],[2],0,6,1,3
언론정보대학,2,0,2,0,[2],[2],0,6,1,3
경상대학 경제학부,2,0,2,0,[2],[2],0,6,1,3
경상대학 경영학부,2,0,2,0,[2],[2],0,6,1,3
경상대학 보험계리학과,2,0,2,0,[2],[2],0,6,1,3
디자인대학,2,2,0,0,[2],[2],0,6,1,3
예체능대학,2,0,2,0,[2],[2],0,6,1,2
