대학 및 학과 ,언어와소통,철학과인간,역사와사회,과학과기술,4차산업혁명과디지털리터러시,한학연과취창업,문화와예술 ,체육과건강,영역제한없음,계,사회봉사,산학협력교육영역
"공학대학 (융합공학과, 스마트융합공학부 제외)",[2],[2],[2],[2],[2],[2],[2],[2],4,10,1,6
공학대학 융합공학과,0,0,0,0,0,0,0,0,6,6,0,0
공학대학 스마트융합공학부,0,0,0,0,0,0,0,0,0,0,0,0
소프트웨어융합대학,[2],[2],[2],[2],[2],[2],[2],[2],4,10,1,6
약학대학,0,0,0,0,0,0,0,0,0,0,0,3
과학기술융합대학,[2],[2],[2],[2],[2],[2],[2],[2],4,10,1,3
국제문화대학,[2],[2],[2],[2],[2],[2],[2],[2],8,14,1,3
언론정보대학,[2],[2],[2],[2],[2],[2],[2],[2],8,14,1,3
경상대학 (회계세무학과 제외),[2],[2],[2],[2],[2],[2],[2],[2],8,14,1,3
경상대학 회계세무학과,0,0,0,0,0,0,0,0,6,6,0,0
디자인대학,[2],[2],[2],[2],[2],[2],[2],[2],8,14,1,3
예체능대학,[2],[2],[2],[2],[2],[2],[2],[2],8,14,1,3
