소속대학,기존 학과/전공,기존 교육과정,기존 학수번호,기존 과목명,기존 이수구분,기존 교육과정 시작 및 종료 연도,대치 학과/전공,대치 교육과정,대치 학수번호,대치 과목명,대치 이수구분,대치 교육과정 시작 및 종료 연도
공학대학,교통물류공학과,16-19,MAT3008,수치해석,전공핵심,2017-1~2020-2,교통물류공학과,20-23,TRE3035,교통물류데이터과학및인공지능,전공핵심,2022-1~2025-2
공학대학,교통물류공학과,16-19,CIE3009,철도공학,전공심화,2019-1~2022-2,교통물류공학과,20-23,TRE3036,교통물류빅데이터마이닝,전공핵심,2022-1~2025-2
공학대학,건설환경공학과,16-19,CIE3028,도로설계,전공심화,2019-1~2021-2,건설환경공학과,20-23,CIE3077,도로공학개론,전공심화,2022-1~2025-2
공학대학,건설환경공학과,16-19,CIE2058,Digital측량학및GIS,전공심화,2020-1~2022-2,건설환경공학과,20-23,CIE4088,측량학및건설캐드,전공심화,2023-1~2026-2
공학대학,국방정보공학과,16-19,ITE4007,컴퓨터보안,전공심화,2019-1~2022-2,국방정보공학과,20-23,MIL4009,사이버보안,전공심화,2023-1~2026-2
공학대학,로봇공학과,16-19,ROB3004,로봇제어실험,전공핵심,2019-1~2022-2,로봇공학과,20-23,ROB4014,로봇공학실험,전공심화,2023-1~2026-2
공학대학,로봇공학과,16-19,CSE4007,인공지능,전공심화,2019-1~2022-2,로봇공학과,20-23,ROB4015,로봇지능,전공심화,2023-1~2026-2
공학대학,전자공학부,16-19,EIS2001,시스템모델링및설계,전공핵심,2017-1~2020-2,전자공학부,20-23,EEN3008,시스템IC,전공심화,2022-1~2025-2
공학대학,전자공학부,16-19,ELE4098,반도체융복합응용,전공심화,2019-1~2022-2,전자공학부,20-23,EEN4008,반도체공정및응용,전공심화,2023-1~2026-2
공학대학,전자공학부,16-19,ECC2006,디지털시스템,전공심화,2017-1~2020-2,전자공학부,20-23,EEN4009,디지털통신시스템,전공심화,2023-1~2026-2
공학대학,전자공학부,16-19,EIS4002,아날로그집적회로,전공심화,2019-1~2022-2,전자공학부,20-23,EEN4010,아날로그응용회로,전공심화,2023-1~2026-2
과학기술융합대학,분자생명과학과,16-19,BIO1066,유전자카운슬링,전공심화,2018-1~2018-1,분자생명과학과,16-19,BIO4079,분자생명공학,전공심화,2018-1~2021-2
