학년 교육과정,이수체계도,수강 유의,모의수강신청,수강신청,수강일정,학점 기준,졸업요건,공학인증,온라인강좌,학부-대학원 공통교육과정,영어전용강좌,IC-PBL,사회봉사,산학협력교육,재수강,상대평가 ,절대평가,폐강처리,수강포기
1학년 2020-2023 교육과정,HY-in → 학사행정 → 강의 → 교과목조회  → 전공교과목이수체계도조회,1. 교수 자녀간 수강이 불가능합니다.,4학년 1월 29일 수요일 15:00~24:00,"4,5학년, 약학대학 6학년 2월 10일 월요일 11:00~24:00", 개강은 3월 16일 월요일입니다.,"1학기~7학기의 최소 학점은 10학점이며, 최대 학점은 20학점입니다.",필수과목 이수조회 확인은 '졸업사정조회'메뉴 → '미필과목이수여부'에서 가능합니다. 지난 학년에 수강하지 못한 필수과목은 반드시 우선적으로 수강하여야 합니다.,"공학인증 대상학과는 건설환경공학과, 건축학부 건축공학전공, 교통물류공학과, 로봇공학과입니다.","특수수업 E-러닝타입A,B,C,D,M 유형의 과목은 최대 3학점까지 수강신청이 가능하며,사이버토익을 포함할 경우 최대 5학점까지 가능합니다.",대학원교과목 수강은 학부 4학년생부터 가능합니다.,"2007학년도 이후 신입학자(2007학년도 포함), 2007학번 이후 편입자(2008학년도 이후 2학년 편입학자, 2009학년도 이후 3학년 편입학자)는 영어전용강좌 의무 이수 대상자입니다.","ERICA 2017학년도 이후 신,편입생은 IC-PBL강좌 의무 이수 대상자입니다.","공학대학(융합공학과, 스마트융합공학부 제외)은 1학점을 의무 이수해야합니다.","공학대학(융합공학과, 스마트융합공학부 제외)은 6학점을 의무 이수해야합니다.",성적상승 재수강은 C+ 이하인 경우에 한하여 재수강이 가능하며 최고 취득학점은 A0로 제한됩니다.,"이론 중심의 과목인 경우, 수강인원이 12명 이상을 기준으로 A비율은 30%, A+B비율은 70%입니다.","이론 교과목의 수강인원이 12명미만인 경우, 절대평가입니다.","전공과목의 경우 학년별 재학인원이 25명 이상인 경우, 수강인원이 10명 미만일 때 폐강처리 됩니다. 학년별 재학인원이 25명 미만인 경우, 수강인원의 40% 미만인 경우 폐강처리 됩니다. 단 수강인원이 6명 미만인 경우 폐강처리 됩니다. (영어전용강좌도 동일한 기준으로 적용되고, 연구실심화실습1~4의 교과목은 수강인원이 0명인 경우만 폐강됩니다.)",학업연장재수강자는 수강포기가 가능합니다. (졸업유보자는 수강포기가 불가능합니다)
2학년 이상 2016-2019 교육과정,"과목 간 직접 연계는 파라색 화살표, 간접 연계는 빨간색 화살표, 중요한 과목을 외쪽에 배치, 겹선으로 '모듈 필수'는 진출분야에서 가장 중요 과목을 나타냅니다.",2. 수강신청 기간 외의 수강신청 취소 기능은 제한이 있습니다.,3학년 1월 30일 목요일 11:00~15:00,"3학년, 약학대학 5학년 2월 11일 화요일 11:00~24:00",수강 정정은 3월 19일 목요일 17:00부터 3월 21일 토요일 24:00까지 입니다.,"졸업 예정 학기의 최소학점은 3학점이며, 최대 학점은 20학점입니다.","필수과목 이수조회 확인 시점은 수강신청 기간 중에 필히 확인하시기 바랍니다. 복학 예정인 학생의 경우, 복학 처리 후 필수과목을 확인해야 합니다. 더 정확한 정보는 소속학과를 통하여 필수과목 이수여부를 정확하게 확인하시기 바랍니다","온라인 수강지도상담 절차를 반드시 마쳐야 하며, 상담을 받지 않은 학생은 모의수강신청 및 본수강신청이 불가능합니다.","한양사이버대 강좌는 한양사이버대학교 홈페이지(http://www.hycu.ac.kr)에서 수업계획서 조회 및 수강을 하며, 수강신청 시 반드시 개강전 공지사항을 확인하시기 바랍니다.",수강 가능학점은 최대 6학점까지 가능합니다.,"영어커뮤니케이션1,2, 학술영어1,2를 제외하고 2과목 이상 수강해야합니다.","IC-PBL 강좌 의무 이수제 적용 대상 학생은 졸업 요건으로 IC-PBL 강좌를 4개 이상 이수해야합니다. (편입생의 경우, 2개 이상을 이수해야 함)",소프트웨어융합대학은 1학점을 의무 이수해야합니다.,소프트웨어융합대학은 6학점을 의무 이수해야합니다.,"성적상승 재수강은 최소, 최대 학점 범위 내에서 신청 가능하며 신청학점 수를 제한하지 않습니다. (동일과목은 성적상승만 가능하며  일반과목 신청으로 다시 그 과목을 수강하는 것은 불가능합니다)","이론+실습의 과목인 경우, 수강인원이 20명 이상을 기준으로 A비율은 40%, A+B비율은 80%입니다.","이론+실습 교과목의 수강인원이 20명미만인 경우, 절대평가입니다.","교양과목의 경우 수강인원이 10명 미만인 경우, 폐강처리 됩니다. (영어전용강좌도 동일한 기준으로 적용됩니다)",수강포기 후 잔여학점이 수강신청 최소학점 이상(사회봉사포함) 이어야 수강포기가 가능합니다.
주의사항,,3. 대치과목 수강신청 시 '재수강 및 수강신청 선택 팝업' 처리 방식이 변경되었습니다.,2학년 1월 30일 목요일 15:00~24:00,"2학년, 약학대학 4학년 2월 12일 수요일 11:00~24:00",교과목 폐강 기준은 3월 21일 토요일 24:00를 기준으로 결정됩니다. ,학업연장재수강자의 최소학점은 1학점이고 최대 학점은 20학점입니다.,선수강 교과목 확인은 '졸업사정조회'메뉴 → '선수강이수여부'에서 확인 가능합니다.,자세한 사항은 HY-in포털 → 교육인증 → 공학인증 → 게시판 → 공지사항으로 들어가서 확인하거나 공학교육혁신센터 홈페이지(http://icee.hanyang.ac.kr) 공지사항에서 확인할 수 있습니다.,"서울권역이러닝강좌는 교내홈페이지를 통해 수강하며, 사이버토익은 수업계획서의 수강홈페이지를 참고해 주시길 바랍니다.",수강한 학점은 전공학점으로 인정되며 졸업이수학점에 포함이 됩니다. 하지만 공통교육과정으로 이수한 대학원교과목에 대한 학점이 추후 대학원 수료학점으로는 인정이 되지 않습니다.,"공학대학 융합공학과, 스마트융합공학부, 약학대학, 경상대학 회계세무학과, 예체능대학 학생들은 의무 이수 제외 대상자입니다.","공학대학 융합공학과, 스마트융합공학부, 약학대학, 경상대학 회계세무학과 학생은 의무 이수 제외 대상 학생입니다.",과학기술융합대학은 1학점을 의무 이수해야합니다.,약학대학은 3학점을 의무 이수해야합니다.,"성적상승 재수강의 성적처리는 전의 성적과 후의 성적 중 상위성적만 인정하며, 하위성적은 폐기처리 됩니다. 그리고 과목의 학점수가 변했을 경우, 상위성적의 학점수로 처리됩니다. (다만 이수구분이 일반선택인 과목의 재수강의 경우는 성적상승이 된 학기의 이수구분으로 처리됩니다)","IC-PBL강좌, 일부 초청강연, HY-LIVE강좌의 수업인 경우, A비율은 50%, A+B비율은 90%입니다.","실습교과목일 경우, 절대평가입니다.","캡스톤디자인(교수별), PBL과비전설계는 수강인원이 4명 미만일 때 폐강됩니다. 단 학과/전공별로 1개만 개설되는 캡스톤디자인 교과목은 전공과목과 동일 기준으로 적용됩니다.",수강포기는 2과목까지만 가능합니다.
"1. 학수번호는 동일하나 과목명이 변경된 과목이 있으니 주의하시기 바랍니다. 2016-2019 교육과정의 전공핵심(필수), 기초필수 등의 필수과목의 과목명이 변경된 경우는 변경된 과목을 반드시 이수해야 졸업이 가능하며, 2020-2023 교유과정에서 과목명이 변경된 경우 개설 학년에 상관없이 2020학년부터 변경된 교과목으로 개설됩니다.",,4.한양인 로그인 후에 '수강편람 및 수강신청 링크가 없어지고 로그인 첫 화면에 '수강신청 바로가기'로 링크가 변경되었습니다.,다전공 1월 31일 금요일 11:00~14:00,"1학년, 편입생, 약학대학 3학년 2월 26일 수요일 11:00~24:00","폐강으로 인한 정정은 학과 사무실로 신청해야 하며, 3월 24일 화요일 11:00부터 3월 25일 수요일 17:00까지 입니다.",다전공자가 주전공 이외의 과목 수강할 시 추가로 3학점 신청 가능합니다.,"아카데믹글쓰기, 학술영어1,2, 초급중국어, 미분적분학, 물리, 화학실험 관련 기초필수과목의 수강신청 시에는 반드시 소속학과(대학)에 설강된 과목을 수강하시기 바랍니다. (개강 후에도 타 학과에 개설된 과목은 수강신청이 제한될 수 있습니다.)","공학인증 관련 문의 전화는  031-400-5043(건축학부 건축공학전공, 로봇공학과), 031-400-5044(건설환경공학과, 교통물류공학과)입니다.",서울권역이러닝강좌의 수업계획서 및 시범강의는 서울권역e러닝센터 홈페이지(http://selc.or.kr)에서 확인 가능합니다.,수강신청은 수강신청시스템의 '학석사공통수강신청' 메뉴에서 별도로 지정된 일자에 온라인 수강신청이 가능합니다.,"2020학년도부터 ""학술영어1:통합"",""학술영어2:글쓰기"" 과목은 교양필수 강좌로 개설됩니다.",IC-PBL 강좌 의무 이수제는 전공 IC-PBL 교과목의 수강만 인정됩니다.,국제문화대학은 1학점을 의무 이수해야합니다.,과학기술융합대학은 3학점을 의무 이수해야합니다.,"2019-1학기부터 과목당 재수강 횟수가 2회로 제한됩니다. 2018-2학기까지 들었던 재수강 횟수와는 무관하며, 2019-1학기부터의 재수강 횟수부터 카운트됩니다.",,"영어전용강좌(단, 영어커뮤니케이션1,2-초급,중급 및 학술영어1,2는 이론의 상대평가 기준으로 적용됩니다.)는 절대평가 수업입니다.",교직 및 군사학과목은 수강인원이 0명인 경우만 폐강처리 됩니다.,"사회봉사, 사이버강좌, 학점교류 강좌, 서울캠퍼스 강좌는 수강포기가 불가능합니다. 단 사이버강좌 중 K-MOOC 강좌(학점교류 E-러닝 M)는 수강포기가 가능합니다."
2. 학점이 변경된 경우 성적상승재수강 시 얘전 학점이 삭제되고 변경된 학점을 취득하게 됩니다. 학점 변경으로 인해 졸업사정에 변동이 생길 수 있으니 주의해서 신청해주시기 바랍니다.,,5. 교양 수업은 최대 10학점 까지만 신청이 가능합니다.,전체학년 1월 31일 금요일 16:30~24:00,다전공 2월 13일 목요일 11:00~14:00,"수강 포기는 온라인 신청으로 해야하며, 3월 25일 수요일 11:00부터 3월 27일 금요일까지 입니다. 수강포기는 2과목까지만 가능하며, 수강포기 후 잔여학점이 수강신청 최소학점 이상(사회봉사 포함) 이어야 가능합니다. 자세한 유의사항은  http://ehaksa.hanyang.ac.kr/-25에서 확인 가능합니다.",사회봉사 신청 시 추가로 1학점 신청 가능합니다.,,,학점교류 강좌인 K-MOOC 강좌(E-러닝M)는 K-MOOC 사이트 홈페이지에서 수업계획서를 조회하고 수강합니다.,,"기존 ""창의적영어읽기-초중고급"",""영어커뮤니케이션1-초,중,고급"",""영어커뮤니케이션2-초,중,고급""은 폐지 되었으며, 재수강하고자 하는 학생들은 이번 학기 창의융합교육원 설장으로 개설된 교양선택 교과목을 수강신청하여 이수해주시기 바랍니다. 성적상승재수강은 이전에 취득한 동일한 등급으로만 가능합니다. ",IC-PBL 관련 문의사항은 IC-PBL센터(031-400-4893)으로 문의해주시기 바랍니다.,언론정보대학은 1학점을 의무 이수해야합니다.,국제문화대학은 3학점을 의무 이수해야합니다.,"재수강 취득 성적이 F일 경우, 금학기 평점에는 계산되비만 누적학점과 누적평점에는 가산되지 않습니다. 단 처음 취득한 F(50점) 과목을 성적상승재수강으로 F(55점)를 받았을 경우 더 높은 F성적이 남으며 평점에도 계산이 됩니다. ",,제2외국어강좌는 절대평가입니다.,3월 21일 통일 24시를 기준으로 3월 23일 월요일에 최종 폐강 대상 강좌가 공지될 예정입니다.,수강포기 후 신청내역을 재확인하여 수강포기가 정상적으로 처리가 되었는지 반드시 확인하시기 바랍니다.
"3. 이수구분이 변경된 경우에는 성적상승재수강 시 이전 이수구분으로 인정됩니다. 필수과목의 이수구분이 2020-2023 교육과정에서 변경되었다고 하더라도, 미필과목을 이미 지정받은 학생은 반드시 해당과목을 의무 이수해야 합니다.",,"6. 학과간 공통교육과정은 타 학과의 과목을 전공으로 인정하는 제도로서, 수강신청 후 여석에 대해 수강신청을 하는 개념입니다.",모의수강 참여한 학생만 개강일부터 정정기간까지 신청과목을 미리 취소할 수 있습니다.,(1학년 제외) 전체학년 2월 13일 목요일 16:30~2월 14일 금요일 24:00 ,,ROTC 필수 교과목 신청 시 추가로 2학점 신청 가능합니다.,,,,,영어기초필수 관련 문의사항은 영어교육위원회(031-400-5901)로 문의하시기 바랍니다.,,경상대학(회계세무학과 제외)은 1학점을 의무 이수해야합니다.,언론정보대학은 3학점을 의무 이수해야합니다.,"수강신청 유 학사학위취득유예자는 성적상승재수강이 불가능하며, 수강신청후 수강 포기도 불가능합니다. ",,창의적영어읽기-고급 과목은 절대평가 수업입니다.,,
4. 2016-2019 교육과정에 개설되었던 과목이 2020-2023 교육과정에서 폐지되면 해당 과목에 대해 더 이상 성적상승재수강이 불가능합니다. 필수과목이 폐지되었을 결우 미필과목을 이미 지정받은 학생은 종료연도를 기준으로 면제처리가 됩니다.,,,,학석사연계과정 2월 18일 화요일 9:00~2월 21일 금요일 24:00,,,,,,,,,디자인대학은 1학점을 의무 이수해야합니다.,경상대학(회계세무학과 제외)은 3학점을 의무 이수해야합니다.,"미취득(F학점)한 필수과목이 발생했을 경우 반드시 다음 학년에 해당 학년 과목보다 우선하여 수강하도록 합니다(학칙 시행세칙 I, 제6조)",,"교직, 학연산•창업교육센처 관장 과목은 절대평가입니다.",,
"5. 다중전공생의 경우, 학과에서 별도로 지정한 과목에 한하여 2020-2023 교육과정에서는 다전공 학과의 전공기초를 이수하면 최대 9학점까지 전공학점으로 인정됩니다. 해당 사항은 2020-2023 교육과정에 등재된 교과목이 학년-학기에 맞추어 개설되는 시점 이후 수강생에게 적용되며, 이전 수강생들에게는 소급적용이 되지 않습니다.",,,,학부-대학원 공통교육과정 2월 7일 금요일 11:00~24:00,,,,,,,,,예체능대학은 1학점을 의무 이수해야합니다.,디자인대학은 3학점을 의무 이수해야합니다.,"미취득한 과목이 자과 교육과정에서 필수 과목인 경우, 현행 교육과정의 기준으로 족속한 과목이면 반드시 이수해야 하며 폐강된 과목인 경우 수강하지 않아도 됩니다. (자과에서 없어진 과목이 타과 교육과정이나 교양과정에 개설된다 해도 폐강 교과목에 해당됩니다.)",,"ROTC교과목(군사학), 현장실습(교직), 교환학생, 학점교류, 현지학기제인 경우, 절대평가입니다.",,
,,,,희망수업조회는 1월 23일 목요일부터 가능합니다.,,,,,,,,,,"예체능대학은 2019학번 이전 학생들은 2학점을 의무 이수해야하고, 2020학번 이후 학생들은 3학점을 의무 이수 해야합니다.","미취득 과목이 필수과목이 아닌 경우, 본인 의사에 따라 숭강여부를 선택할 수 있으며 수강신청에서 재수강 과목수와 학점수에 제한을 두지 않습니다.",,"E러닝(단, 사이버토익, E-러닝 타입A 과목은 기존대로 이론 상태평가 기준으로 적용됩니다)은 절대평가입니다. ",,
,,,,,,,,,,,,,,"2020학번 이후 캡스톤디자인 교과목을 통한 산학협력영역은 공학대학(융합공학과, 스마트융합공학부 제외)는 4학점, 소프트웨어융합대학은 4학점, 약학대학와 그외의 대학(회계세무학과 제외)은 2학점까지 최대 이수 가능합니다.","2013-2학기까지 이수한 F과목은 'NA'로 표기되며, 평점평균에는 포함되지 않습니다. 2014-2학기부터 이수한 F과목은 'F'로 표기되며, 평점평균에 포함이 됩니다.",,"캡스톤디자인(공학대학, 소프트웨어융합대학, 약학대학, 경상대학, 디자인대학)은 절대평가입니다.",,
